time	V(2)	V(d1)	V(d2)
4.994101102979905e-003	9.805791e-006	1.556302e-003	1.314939e-001
5.030606378273501e-003	9.864379e-006	1.585240e-003	6.062754e-001
5.103616928860693e-003	9.992727e-006	1.691260e-003	1.215624e+000
5.249638030035079e-003	1.027417e-005	2.095935e-003	2.085807e+002
5.250208424961541e-003	1.027537e-005	2.192285e-003	2.101103e+002
5.250351023693156e-003	1.027569e-005	2.216294e-003	1.411705e+002
5.250636221156388e-003	1.027632e-005	2.217037e-003	2.767905e+000
5.251206616082850e-003	1.027759e-005	2.218617e-003	2.607135e+000
5.252347405935775e-003	1.028012e-005	2.221970e-003	2.936782e+000
5.272881623288423e-003	1.032678e-005	2.284050e-003	3.008048e+000
5.293415840641071e-003	1.037581e-005	2.347744e-003	3.073952e+000
5.313950057993719e-003	1.042720e-005	2.413053e-003	3.134494e+000
5.334484275346366e-003	1.048095e-005	2.479976e-003	3.189672e+000
5.355018492699014e-003	1.053707e-005	2.548514e-003	3.239489e+000
5.375552710051662e-003	1.059555e-005	2.618667e-003	3.283943e+000
5.396086927404310e-003	1.065639e-005	2.690433e-003	3.323034e+000
5.542108028578695e-003	1.115879e-005	3.192789e-003	3.446394e+000
5.834150230927466e-003	1.233020e-005	4.479606e-003	2.158852e+003
5.834292829659082e-003	1.233084e-005	4.582655e-003	2.159613e+003
5.834578027122313e-003	1.233221e-005	4.788278e-003	1.440007e+003
5.835148422048775e-003	1.233494e-005	4.789543e-003	2.088730e+000
5.836289211901700e-003	1.234041e-005	4.792214e-003	2.344743e+000
5.846393350599034e-003	1.238910e-005	4.815463e-003	2.294742e+000
5.856497489296370e-003	1.243811e-005	4.837769e-003	2.243444e+000
5.866601627993704e-003	1.248744e-005	4.859134e-003	2.190848e+000
5.876705766691039e-003	1.253709e-005	4.879557e-003	2.136955e+000
5.886809905388373e-003	1.258705e-005	4.899038e-003	2.081764e+000
5.896914044085709e-003	1.263734e-005	4.917577e-003	2.025275e+000
5.907018182783043e-003	1.268794e-005	4.935175e-003	1.967489e+000
5.980313930833467e-003	1.305694e-005	5.097258e-003	1.173680e+002
5.980884325759929e-003	1.305986e-005	5.119822e-003	7.831438e+001
5.982025115612854e-003	1.306571e-005	5.120852e-003	8.529323e-001
5.984306695318704e-003	1.307740e-005	5.122990e-003	9.449375e-001
5.997996173553803e-003	1.314769e-005	5.134457e-003	8.442488e-001
6.016248811200601e-003	1.324169e-005	5.145547e-003	6.897998e-001
6.052754086494197e-003	1.342974e-005	5.152707e-003	3.607754e-001
6.126049834544621e-003	1.380668e-005	5.121240e-003	-4.744587e+001
6.127761019324008e-003	1.381542e-005	5.110762e-003	-9.117021e-001
6.130042599029857e-003	1.382707e-005	5.108367e-003	-1.041105e+000
6.161984714911755e-003	1.398905e-005	5.068384e-003	-1.268547e+000
6.198489990205351e-003	1.417071e-005	5.009250e-003	-1.506640e+000
6.271500540792543e-003	1.451894e-005	4.856454e-003	-1.912939e+000
6.417521641966928e-003	1.514176e-005	4.473967e-003	-2.446022e+000
6.709563844315699e-003	1.624138e-005	3.321218e-003	-2.097349e+003
6.709706443047314e-003	1.624185e-005	3.221108e-003	-2.098156e+003
6.709991640510546e-003	1.624271e-005	3.021283e-003	-1.399189e+003
6.710562035437008e-003	1.624443e-005	3.019915e-003	-2.258479e+000
6.711702825289933e-003	1.624788e-005	3.017024e-003	-2.536400e+000
6.721806963987267e-003	1.627807e-005	2.991756e-003	-2.492827e+000
6.731911102684602e-003	1.630791e-005	2.967358e-003	-2.447471e+000
6.742015241381937e-003	1.633739e-005	2.943831e-003	-2.400331e+000
6.752119380079272e-003	1.636651e-005	2.921175e-003	-2.351407e+000
6.762223518776606e-003	1.639528e-005	2.899389e-003	-2.300699e+000
6.772327657473942e-003	1.642368e-005	2.878475e-003	-2.248208e+000
6.782431796171276e-003	1.645173e-005	2.858432e-003	-2.193933e+000
6.855727544221700e-003	1.665288e-005	2.670192e-003	-1.392877e+002
6.856297939148162e-003	1.665439e-005	2.643385e-003	-9.298072e+001
6.857438729001087e-003	1.665740e-005	2.642081e-003	-1.078583e+000
6.859720308706937e-003	1.666342e-005	2.639366e-003	-1.198505e+000
6.891662424588834e-003	1.674681e-005	2.608161e-003	-9.604471e-001
6.928167699882430e-003	1.684117e-005	2.589405e-003	-6.665687e-001
7.001178250469622e-003	1.703219e-005	2.598204e-003	-1.202682e-001
7.147199351644007e-003	1.744291e-005	2.723610e-003	6.100722e-001
7.439241553992778e-003	1.842003e-005	3.123834e-003	1.239001e+000
8.023325958690319e-003	2.068116e-005	4.317256e-003	1.034371e+003
8.023611156153550e-003	2.068239e-005	4.416010e-003	1.034758e+003
8.024181551080013e-003	2.068502e-005	4.613115e-003	6.900416e+002
8.025322340932938e-003	2.069029e-005	4.614523e-003	1.154825e+000
8.027603920638787e-003	2.070083e-005	4.617587e-003	1.327586e+000
8.059546036520685e-003	2.084997e-005	4.672491e-003	1.749796e+000
8.096051311814281e-003	2.102561e-005	4.760758e-003	2.200823e+000
8.169061862401473e-003	2.138605e-005	5.056013e-003	2.919339e+002
8.169347059864704e-003	2.138749e-005	5.084739e-003	2.929981e+002
8.170060053522783e-003	2.139116e-005	5.143079e-003	9.318083e+000
8.170345250986014e-003	2.139262e-005	5.144599e-003	7.325222e+000
8.170915645912477e-003	2.139556e-005	5.146759e-003	3.560400e+000
8.172056435765402e-003	2.140144e-005	5.151345e-003	4.015300e+000
8.213450810428676e-003	2.161973e-005	5.338085e-003	4.384896e+000
8.254845185091951e-003	2.185439e-005	5.537048e-003	4.711305e+000
8.296239559755225e-003	2.210542e-005	5.748235e-003	4.994526e+000
8.337633934418498e-003	2.237281e-005	5.971645e-003	5.234560e+000
8.379028309081773e-003	2.265657e-005	6.207280e-003	5.431407e+000
8.420422683745047e-003	2.295670e-005	6.455139e-003	5.585065e+000
8.461817058408322e-003	2.327319e-005	6.715221e-003	5.695537e+000
8.753859260757092e-003	2.566570e-005	9.080171e-003	4.149500e+003
8.754001859488709e-003	2.566699e-005	9.278242e-003	4.151063e+003
8.754287056951939e-003	2.566975e-005	9.673573e-003	2.768153e+003
8.754857451878402e-003	2.567527e-005	9.676271e-003	4.453812e+000
8.755998241731327e-003	2.568632e-005	9.681974e-003	5.002881e+000
8.766102380428662e-003	2.578471e-005	9.731877e-003	4.927151e+000
8.776206519125996e-003	2.588382e-005	9.780307e-003	4.848849e+000
